file length: 10000
fixed file:  false
order replicate index language algorithm seconds
1 1 7 Go Mergesort 0.22899
2 1 6 Go Binarytree 0.24779
3 1 14 Python Quicksort 0.32381
4 1 12 Python Binarytree 0.39682
5 1 11 Java Quicksort 0.37106
6 1 5 C++ Quicksort 0.08056
7 1 2 C# Quicksort 0.09534
8 1 1 C# Mergesort 0.09834
9 1 9 Java Binarytree 0.33734
10 1 3 C++ Binarytree 0.09961
11 1 8 Go Quicksort 0.17659
12 1 4 C++ Mergesort 0.08614
13 1 13 Python Mergesort 0.37673
14 1 0 C# Binarytree 0.13775
15 1 10 Java Mergesort 0.38974
16 2 7 Go Mergesort 0.20832
17 2 8 Go Quicksort 0.16165
18 2 4 C++ Mergesort 0.07540
19 2 14 Python Quicksort 0.41405
20 2 6 Go Binarytree 0.17573
21 2 12 Python Binarytree 0.35259
22 2 0 C# Binarytree 0.09069
23 2 10 Java Mergesort 0.41022
24 2 5 C++ Quicksort 0.12155
25 2 2 C# Quicksort 0.15601
26 2 9 Java Binarytree 0.37868
27 2 13 Python Mergesort 0.29420
28 2 1 C# Mergesort 0.14050
29 2 11 Java Quicksort 0.42727
30 2 3 C++ Binarytree 0.15764
31 3 8 Go Quicksort 0.21175
32 3 12 Python Binarytree 0.39454
33 3 11 Java Quicksort 0.38052
34 3 7 Go Mergesort 0.22274
35 3 9 Java Binarytree 0.31874
36 3 1 C# Mergesort 0.09262
37 3 4 C++ Mergesort 0.07711
38 3 3 C++ Binarytree 0.11088
39 3 14 Python Quicksort 0.33684
40 3 0 C# Binarytree 0.09687
41 3 10 Java Mergesort 0.35518
42 3 2 C# Quicksort 0.09492
43 3 5 C++ Quicksort 0.07101
44 3 6 Go Binarytree 0.20073
45 3 13 Python Mergesort 0.36620
46 4 6 Go Binarytree 0.26497
47 4 11 Java Quicksort 0.31699
48 4 10 Java Mergesort 0.28982
49 4 3 C++ Binarytree 0.14701
50 4 7 Go Mergesort 0.16607
51 4 14 Python Quicksort 0.40655
52 4 4 C++ Mergesort 0.07259
53 4 5 C++ Quicksort 0.11136
54 4 12 Python Binarytree 0.43516
55 4 13 Python Mergesort 0.34007
56 4 1 C# Mergesort 0.12194
57 4 8 Go Quicksort 0.19534
58 4 9 Java Binarytree 0.43445
59 4 0 C# Binarytree 0.14238
60 4 2 C# Quicksort 0.09438
61 5 3 C++ Binarytree 0.15807
62 5 12 Python Binarytree 0.35960
63 5 14 Python Quicksort 0.32051
64 5 7 Go Mergesort 0.24000
65 5 8 Go Quicksort 0.15227
66 5 5 C++ Quicksort 0.07566
67 5 9 Java Binarytree 0.34269
68 5 6 Go Binarytree 0.20711
69 5 10 Java Mergesort 0.37024
70 5 2 C# Quicksort 0.09713
71 5 0 C# Binarytree 0.11611
72 5 4 C++ Mergesort 0.12188
73 5 1 C# Mergesort 0.14355
74 5 13 Python Mergesort 0.32234
75 5 11 Java Quicksort 0.36914
76 6 5 C++ Quicksort 0.09255
77 6 7 Go Mergesort 0.18470
78 6 4 C++ Mergesort 0.09869
79 6 0 C# Binarytree 0.12006
80 6 10 Java Mergesort 0.37152
81 6 8 Go Quicksort 0.21466
82 6 6 Go Binarytree 0.16831
83 6 1 C# Mergesort 0.10290
84 6 9 Java Binarytree 0.37183
85 6 13 Python Mergesort 0.47149
86 6 12 Python Binarytree 0.45251
87 6 14 Python Quicksort 0.31295
88 6 3 C++ Binarytree 0.13372
89 6 2 C# Quicksort 0.11736
90 6 11 Java Quicksort 0.36035
91 7 11 Java Quicksort 0.39936
92 7 3 C++ Binarytree 0.12795
93 7 0 C# Binarytree 0.13500
94 7 2 C# Quicksort 0.09576
95 7 1 C# Mergesort 0.10523
96 7 5 C++ Quicksort 0.07643
97 7 4 C++ Mergesort 0.10750
98 7 14 Python Quicksort 0.30020
99 7 13 Python Mergesort 0.31577
100 7 10 Java Mergesort 0.31794
101 7 8 Go Quicksort 0.18551
102 7 9 Java Binarytree 0.32518
103 7 7 Go Mergesort 0.20038
104 7 12 Python Binarytree 0.43226
105 7 6 Go Binarytree 0.18539
106 8 5 C++ Quicksort 0.12788
107 8 6 Go Binarytree 0.17673
108 8 8 Go Quicksort 0.24598
109 8 7 Go Mergesort 0.23455
110 8 13 Python Mergesort 0.35024
111 8 9 Java Binarytree 0.37104
112 8 12 Python Binarytree 0.39735
113 8 14 Python Quicksort 0.36934
114 8 10 Java Mergesort 0.35168
115 8 0 C# Binarytree 0.13310
116 8 11 Java Quicksort 0.32927
117 8 4 C++ Mergesort 0.12679
118 8 3 C++ Binarytree 0.14419
119 8 1 C# Mergesort 0.09530
120 8 2 C# Quicksort 0.08546
121 9 3 C++ Binarytree 0.11927
122 9 8 Go Quicksort 0.22491
123 9 14 Python Quicksort 0.31727
124 9 1 C# Mergesort 0.11830
125 9 9 Java Binarytree 0.37804
126 9 4 C++ Mergesort 0.11937
127 9 11 Java Quicksort 0.36022
128 9 5 C++ Quicksort 0.09900
129 9 0 C# Binarytree 0.09129
130 9 12 Python Binarytree 0.46204
131 9 7 Go Mergesort 0.18736
132 9 10 Java Mergesort 0.37228
133 9 2 C# Quicksort 0.12454
134 9 13 Python Mergesort 0.35435
135 9 6 Go Binarytree 0.20726
136 10 2 C# Quicksort 0.09503
137 10 10 Java Mergesort 0.42435
138 10 13 Python Mergesort 0.37121
139 10 8 Go Quicksort 0.19454
140 10 11 Java Quicksort 0.40575
141 10 6 Go Binarytree 0.23912
142 10 7 Go Mergesort 0.16290
143 10 9 Java Binarytree 0.40355
144 10 14 Python Quicksort 0.33943
145 10 3 C++ Binarytree 0.12264
146 10 12 Python Binarytree 0.31693
147 10 1 C# Mergesort 0.08978
148 10 5 C++ Quicksort 0.07801
149 10 4 C++ Mergesort 0.08611
150 10 0 C# Binarytree 0.12812
151 11 4 C++ Mergesort 0.13121
152 11 7 Go Mergesort 0.22808
153 11 9 Java Binarytree 0.43949
154 11 3 C++ Binarytree 0.12910
155 11 1 C# Mergesort 0.08837
156 11 2 C# Quicksort 0.14833
157 11 10 Java Mergesort 0.31313
158 11 6 Go Binarytree 0.21689
159 11 13 Python Mergesort 0.31705
160 11 11 Java Quicksort 0.29186
161 11 12 Python Binarytree 0.40140
162 11 8 Go Quicksort 0.22101
163 11 0 C# Binarytree 0.09687
164 11 5 C++ Quicksort 0.09589
165 11 14 Python Quicksort 0.41917
166 12 6 Go Binarytree 0.17833
167 12 13 Python Mergesort 0.43167
168 12 5 C++ Quicksort 0.13155
169 12 9 Java Binarytree 0.36605
170 12 10 Java Mergesort 0.38339
171 12 2 C# Quicksort 0.13573
172 12 1 C# Mergesort 0.09805
